Date,IM,Shift,Status
2026-08-03,IM4,1,ON
2026-08-03,IM4,2,SD
2026-08-03,IM5,3,ON
2026-08-03,IM5,1,ON
2026-08-03,IM5,2,ON
2026-08-03,IM6,3,ON
2026-08-03,IM6,1,ON
2026-08-03,IM6,2,ON
2026-08-03,IM7,3,ON
2026-08-03,IM7,1,ON
2026-08-03,IM7,2,ON
2026-08-03,IM8,3,ON
2026-08-03,IM8,1,ON
2026-08-03,IM8,2,ON
2026-08-03,IM9,3,SD
2026-08-03,IM9,1,SD
2026-08-03,IM9,2,SD
2026-08-04,IM1,3,ON
2026-08-04,IM1,1,ON
2026-08-04,IM1,2,ON
2026-08-04,IM10,3,ON
2026-08-04,IM10,1,ON
2026-08-04,IM10,2,SD
2026-08-04,IM11,3,ON
2026-08-04,IM11,1,ON
2026-08-04,IM11,2,ON
2026-08-04,IM12,3,SD
2026-08-04,IM12,1,SD
2026-08-04,IM12,2,SD
2026-08-04,IM14,3,ON
2026-08-04,IM14,1,ON
2026-08-04,IM14,2,ON
2026-08-04,IM15,3,SD
2026-08-04,IM15,1,ON
2026-08-04,IM15,2,ON
2026-08-04,IM16,3,SD
2026-08-04,IM16,1,SD
2026-08-04,IM16,2,SD
2026-08-04,IM17,3,SD
2026-08-04,IM17,1,SD
2026-08-04,IM17,2,SD
2026-08-04,IM18,3,SD
2026-08-04,IM18,1,SD
2026-08-04,IM18,2,SD
2026-08-04,IM19,3,SD
2026-08-04,IM19,1,SD
2026-08-04,IM19,2,SD
2026-08-04,IM2,3,ON
2026-08-04,IM2,1,ON
2026-08-04,IM2,2,ON
2026-08-04,IM3,3,ON
2026-08-04,IM3,1,ON
2026-08-04,IM3,2,ON
2026-08-04,IM4,3,ON
2026-08-04,IM4,1,ON
2026-08-04,IM4,2,ON
2026-08-04,IM5,3,ON
2026-08-04,IM5,1,ON
2026-08-04,IM5,2,ON
2026-08-04,IM6,3,ON
2026-08-04,IM6,1,ON
2026-08-04,IM6,2,ON
2026-08-04,IM7,3,ON
2026-08-04,IM7,1,ON
2026-08-04,IM7,2,ON
2026-08-04,IM8,3,ON
2026-08-04,IM8,1,ON
2026-08-04,IM8,2,ON
2026-08-04,IM9,3,ON
2026-08-04,IM9,1,ON
2026-08-04,IM9,2,ON
2026-08-05,IM1,3,ON
2026-08-05,IM1,1,SD
2026-08-05,IM1,2,SD
2026-08-05,IM10,3,SD
2026-08-05,IM10,1,SD
2026-08-05,IM10,2,SD
2026-08-05,IM11,3,ON
2026-08-05,IM11,1,ON
2026-08-05,IM11,2,ON
2026-08-05,IM12,3,SD
2026-08-05,IM12,1,SD
2026-08-05,IM12,2,SD
2026-08-05,IM14,3,ON
2026-08-05,IM14,1,ON
2026-08-05,IM14,2,ON
2026-08-05,IM15,3,SD
2026-08-05,IM15,1,SD
2026-08-05,IM15,2,SD
2026-08-05,IM16,3,SD
2026-08-05,IM16,1,SD
2026-08-05,IM16,2,SD
2026-08-05,IM17,3,SD
2026-08-05,IM17,1,SD
2026-08-05,IM17,2,SD
2026-08-05,IM18,3,SD
2026-08-05,IM18,1,SD
2026-08-05,IM18,2,SD
2026-08-05,IM19,3,SD
2026-08-05,IM19,1,SD
2026-08-05,IM19,2,SD
2026-08-05,IM2,3,ON
2026-08-05,IM2,1,ON
2026-08-05,IM2,2,ON
2026-08-05,IM3,3,ON
2026-08-05,IM3,1,ON
2026-08-05,IM3,2,ON
2026-08-05,IM4,3,ON
2026-08-05,IM4,1,ON
2026-08-05,IM4,2,ON
2026-08-05,IM5,3,ON
2026-08-05,IM5,1,ON
2026-08-05,IM5,2,ON
2026-08-05,IM6,3,SD
2026-08-05,IM6,1,ON
2026-08-05,IM6,2,ON
2026-08-05,IM7,3,ON
2026-08-05,IM7,1,SD
2026-08-05,IM7,2,SD
2026-08-05,IM8,3,ON
2026-08-05,IM8,1,ON
2026-08-05,IM8,2,ON
2026-08-05,IM9,3,ON
2026-08-05,IM9,1,ON
2026-08-05,IM9,2,ON
2026-08-06,IM1,3,SD
2026-08-06,IM1,1,SD
2026-08-06,IM1,2,SD
2026-08-06,IM10,3,SD
2026-08-06,IM10,1,ON
2026-08-06,IM10,2,ON
2026-08-06,IM11,3,ON
2026-08-06,IM11,1,ON
2026-08-06,IM11,2,ON
2026-08-06,IM12,3,SD
2026-08-06,IM12,1,SD
2026-08-06,IM12,2,SD
2026-08-06,IM14,3,ON
2026-08-06,IM14,1,ON
2026-08-06,IM14,2,SD
2026-08-06,IM15,3,SD
2026-08-06,IM15,1,SD
2026-08-06,IM15,2,SD
2026-08-06,IM16,3,SD
2026-08-06,IM16,1,ON
2026-08-06,IM16,2,SD
2026-08-06,IM17,3,SD
2026-08-06,IM17,1,SD
2026-08-06,IM17,2,SD
2026-08-06,IM18,3,SD
2026-08-06,IM18,1,SD
2026-08-06,IM18,2,SD
2026-08-06,IM19,3,SD
2026-08-06,IM19,1,SD
2026-08-06,IM19,2,SD
2026-08-06,IM2,3,ON
2026-08-06,IM2,1,ON
2026-08-06,IM2,2,ON
2026-08-06,IM3,3,ON
2026-08-06,IM3,1,ON
2026-08-06,IM3,2,SD
2026-08-06,IM4,3,ON
2026-08-06,IM4,1,ON
2026-08-06,IM4,2,ON
2026-08-06,IM5,3,ON
2026-08-06,IM5,1,ON
2026-08-06,IM5,2,ON
2026-08-06,IM6,3,SD
2026-08-06,IM6,1,ON
2026-08-06,IM6,2,ON
2026-08-06,IM7,3,SD
2026-08-06,IM7,1,SD
2026-08-06,IM7,2,SD
2026-08-06,IM8,3,ON
2026-08-06,IM8,1,ON
2026-08-06,IM8,2,ON
2026-08-06,IM9,3,ON
2026-08-06,IM9,1,ON
2026-08-06,IM9,2,ON
2026-08-07,IM1,3,SD
2026-08-07,IM1,1,SD
2026-08-07,IM1,2,SD
2026-08-07,IM10,3,ON
2026-08-07,IM10,1,ON
2026-08-07,IM10,2,ON
2026-08-07,IM11,3,ON
2026-08-07,IM11,1,ON
2026-08-07,IM11,2,ON
2026-08-07,IM12,3,SD
2026-08-07,IM12,1,SD
2026-08-07,IM12,2,SD
2026-08-07,IM14,3,ON
2026-08-07,IM14,1,ON
2026-08-07,IM14,2,ON
2026-08-07,IM15,3,SD
2026-08-07,IM15,1,ON
2026-08-07,IM15,2,ON
2026-08-07,IM16,3,SD
2026-08-07,IM16,1,SD
2026-08-07,IM16,2,SD
2026-08-07,IM17,3,SD
2026-08-07,IM17,1,SD
2026-08-07,IM17,2,SD
2026-08-07,IM18,3,SD
2026-08-07,IM18,1,ON
2026-08-07,IM18,2,SD
2026-08-07,IM19,3,SD
2026-08-07,IM19,1,SD
2026-08-07,IM19,2,SD
2026-08-07,IM2,3,SD
2026-08-07,IM2,1,ON
2026-08-07,IM2,2,ON
2026-08-07,IM3,3,ON
2026-08-07,IM3,1,ON
2026-08-07,IM3,2,ON
2026-08-07,IM4,3,ON
2026-08-07,IM4,1,ON
2026-08-07,IM4,2,ON
2026-08-07,IM5,3,ON
2026-08-07,IM5,1,ON
2026-08-07,IM5,2,ON
2026-08-07,IM6,3,SD
2026-08-07,IM6,1,SD
2026-08-07,IM6,2,SD
2026-08-07,IM7,3,ON
2026-08-07,IM7,1,ON
2026-08-07,IM7,2,ON
2026-08-07,IM8,3,ON
2026-08-07,IM8,1,ON
2026-08-07,IM8,2,ON
2026-08-07,IM9,3,ON
2026-08-07,IM9,1,ON
2026-08-07,IM9,2,ON
2026-08-08,IM1,3,SD
2026-08-08,IM1,1,SD
2026-08-08,IM1,2,SD
2026-08-08,IM10,3,SD
2026-08-08,IM10,1,SD
2026-08-08,IM10,2,SD
2026-08-08,IM11,3,SD
2026-08-08,IM11,1,SD
2026-08-08,IM11,2,SD
2026-08-08,IM12,3,SD
2026-08-08,IM12,1,SD
2026-08-08,IM12,2,SD
2026-08-08,IM14,3,SD
2026-08-08,IM14,1,SD
2026-08-08,IM14,2,SD
2026-08-08,IM15,3,SD
2026-08-08,IM15,1,SD
2026-08-08,IM15,2,SD
2026-08-08,IM16,3,SD
2026-08-08,IM16,1,SD
2026-08-08,IM16,2,SD
2026-08-08,IM17,3,SD
2026-08-08,IM17,1,SD
2026-08-08,IM17,2,SD
2026-08-08,IM18,3,SD
2026-08-08,IM18,1,SD
2026-08-08,IM18,2,SD
2026-08-08,IM19,3,SD
2026-08-08,IM19,1,SD
2026-08-08,IM19,2,SD
2026-08-08,IM2,3,SD
2026-08-08,IM2,1,SD
2026-08-08,IM2,2,SD
2026-08-08,IM3,3,SD
2026-08-08,IM3,1,SD
2026-08-08,IM3,2,SD
2026-08-08,IM4,3,SD
2026-08-08,IM4,1,SD
2026-08-08,IM4,2,SD
2026-08-08,IM5,3,SD
2026-08-08,IM5,1,SD
2026-08-08,IM5,2,SD
2026-08-08,IM6,3,SD
2026-08-08,IM6,1,SD
2026-08-08,IM6,2,SD
2026-08-08,IM7,3,SD
2026-08-08,IM7,1,SD
2026-08-08,IM7,2,SD
2026-08-08,IM8,3,SD
2026-08-08,IM8,1,SD
2026-08-08,IM8,2,SD
2026-08-08,IM9,3,SD
2026-08-08,IM9,1,SD
2026-08-08,IM9,2,SD
